Vardas           Pavardė         ND1              ND2              ND3              ND4              ND5              ND6              ND7              ND8              ND9              ND10             ND11             ND12             ND13             ND14             ND15             EGZ              
Vardas1          Pavardė1        8                9                8                1                3                8                6                2                10               0                0                1                10               10               3                7                
Vardas2          Pavardė2        2                0                2                4                1                3                7                4                9                3                9                3                10               5                4                9                
Vardas3          Pavardė3        0                9                1                7                6                1                1                2                9                10               1                5                1                3                5                2                
Vardas4          Pavardė4        0                8                0                8                5                5                6                8                5                0                3                2                7                3                0                4                
Vardas5          Pavardė5        9                6                0                1                5                6                1                6                2                8                6                10               1                1                9                4                
Vardas6          Pavardė6        5                8                7                3                2                6                8                1                10               4                2                10               5                6                5                7                
Vardas7          Pavardė7        0                1                2                8                4                6                0                4                4                10               3                3                6                9                5                0                
Vardas8          Pavardė8        9                1                4                7                4                9                2                2                0                5                9                9                2                7                10               6                
Vardas9          Pavardė9        9                9                2                6                10               1                0                10               7                3                2                6                2                8                2                6                
Vardas10         Pavardė10       3                4                1                10               8                4                9                0                1                1                1                4                2                2                6                9                
Vardas11         Pavardė11       0                9                9                10               3                8                9                6                6                2                8                6                10               8                0                7                
Vardas12         Pavardė12       10               6                6                7                6                8                3                10               4                10               0                7                6                10               5                10               
Vardas13         Pavardė13       0                0                4                0                1                0                9                8                7                10               3                3                3                3                6                7                
Vardas14         Pavardė14       5                9                1                7                6                1                1                1                9                5                3                4                3                3                9                4                
Vardas15         Pavardė15       0                0                5                8                2                6                8                5                5                6                6                3                7                1                6                6                
Vardas16         Pavardė16       7                3                2                8                5                2                6                8                8                6                4                8                8                7                10               0                
Vardas17         Pavardė17       2                1                4                5                7                9                5                8                6                10               3                3                10               7                8                3                
Vardas18         Pavardė18       1                7                5                0                8                8                3                1                4                10               8                5                10               3                10               9                
Vardas19         Pavardė19       1                10               9                2                0                8                10               10               3                9                4                2                7                5                1                1                
Vardas20         Pavardė20       9                7                1                3                9                1                5                7                3                3                10               10               5                0                2                8                
Vardas21         Pavardė21       1                5                4                0                9                0                7                9                3                5                9                10               8                10               3                8                
Vardas22         Pavardė22       5                10               0                10               5                0                7                1                9                1                3                10               1                7                10               0                
Vardas23         Pavardė23       8                10               3                10               5                5                9                3                7                0                10               1                7                8                3                9                
Vardas24         Pavardė24       7                6                5                3                0                2                2                4                5                5                0                2                10               10               5                1                
Vardas25         Pavardė25       2                6                5                6                1                7                8                7                0                4                0                9                0                4                2                6                
Vardas26         Pavardė26       7                4                2                0                7                6                10               8                5                3                0                10               2                0                10               10               
Vardas27         Pavardė27       0                3                10               10               8                4                2                2                7                9                0                10               3                0                4                2                
Vardas28         Pavardė28       3                5                8                3                9                6                4                2                9                10               5                1                3                6                3                8                
Vardas29         Pavardė29       6                5                2                4                8                3                7                9                4                2                7                8                7                9                10               0                
Vardas30         Pavardė30       8                4                4                6                2                3                8                8                7                2                6                10               2                7                10               1                
Vardas31         Pavardė31       6                2                4                8                7                4                4                1                9                4                4                5                9                2                8                6                
Vardas32         Pavardė32       1                6                7                9                0                3                4                2                6                3                7                10               9                1                10               0                
Vardas33         Pavardė33       2                8                1                6                5                1                9                5                2                5                5                3                3                9                4                0                
Vardas34         Pavardė34       6                7                4                0                5                4                7                2                7                8                6                8                0                1                3                5                
Vardas35         Pavardė35       8                9                0                4                2                9                8                8                4                10               4                8                3                10               7                9                
Vardas36         Pavardė36       7                7                4                4                1                1                5                4                2                2                6                4                1                3                4                1                
Vardas37         Pavardė37       3                8                1                9                4                5                7                1                4                6                7                10               0                2                10               5                
Vardas38         Pavardė38       10               6                1                8                5                1                0                3                3                7                8                9                4                4                6                2                
Vardas39         Pavardė39       1                8                10               6                5                6                8                1                9                8                0                3                3                2                2                1                
Vardas40         Pavardė40       4                0                2                7                0                10               1                7                10               3                6                3                1                4                7                6                
Vardas41         Pavardė41       8                8                1                8                10               9                7                2                5                3                3                10               3                5                8                1                
Vardas42         Pavardė42       2                10               6                1                7                7                10               4                5                7                10               8                10               9                9                0                
Vardas43         Pavardė43       5                8                6                6                0                10               9                4                1                2                7                1                4                1                1                0                
Vardas44         Pavardė44       8                9                3                1                10               3                4                0                8                9                7                6                10               7                9                8                
Vardas45         Pavardė45       5                2                2                8                1                10               9                5                4                6                4                1                0                0                0                4                
Vardas46         Pavardė46       0                5                8                8                9                5                2                10               4                3                7                0                6                10               8                0                
Vardas47         Pavardė47       4                0                0                7                0                0                5                4                6                6                2                5                8                5                4                8                
Vardas48         Pavardė48       6                4                9                9                6                8                7                7                3                6                9                9                9                5                5                7                
Vardas49         Pavardė49       6                2                4                0                3                10               10               6                4                4                6                5                5                6                2                2                
Vardas50         Pavardė50       8                9                5                4                4                0                5                8                3                8                6                5                4                10               1                3                
Vardas51         Pavardė51       1                7                10               2                10               0                8                1                3                5                6                4                0                9                8                7                
Vardas52         Pavardė52       2                0                7                3                3                0                5                6                5                3                7                5                7                9                7                4                
Vardas53         Pavardė53       6                10               5                9                8                10               5                2                9                6                4                4                3                0                10               7                
Vardas54         Pavardė54       7                10               4                3                3                3                2                4                10               7                8                2                9                2                10               4                
Vardas55         Pavardė55       6                9                7                2                5                4                10               6                1                2                7                6                10               6                3                1                
Vardas56         Pavardė56       5                8                2                10               1                2                3                9                1                7                6                7                4                0                4                3                
Vardas57         Pavardė57       10               8                1                6                3                10               8                7                0                8                10               10               8                8                5                3                
Vardas58         Pavardė58       3                1                10               8                4                10               4                3                10               9                8                3                8                2                9                1                
Vardas59         Pavardė59       9                3                1                8                2                4                7                0                4                9                2                4                2                1                5                1                
Vardas60         Pavardė60       7                10               6                4                3                7                2                4                2                6                2                4                1                3                2                6                
Vardas61         Pavardė61       8                6                10               8                4                7                0                8                7                6                3                9                2                3                4                3                
Vardas62         Pavardė62       5                6                3                10               5                7                9                3                3                6                9                0                1                3                1                10               
Vardas63         Pavardė63       4                5                7                0                6                1                5                3                7                8                9                8                10               1                1                7                
Vardas64         Pavardė64       3                1                6                5                8                9                4                6                10               4                5                10               3                0                1                2                
Vardas65         Pavardė65       2                10               9                7                0                6                9                8                0                8                10               0                2                8                10               6                
Vardas66         Pavardė66       3                8                9                10               9                10               9                0                5                1                1                4                0                2                3                2                
Vardas67         Pavardė67       10               1                3                2                6                8                7                9                6                3                4                3                10               8                5                5                
Vardas68         Pavardė68       6                3                5                1                7                5                4                8                0                5                4                5                1                8                8                3                
Vardas69         Pavardė69       9                8                4                8                0                5                0                5                0                1                1                4                4                9                10               3                
Vardas70         Pavardė70       3                7                2                3                8                0                0                4                8                1                9                3                5                9                0                9                
Vardas71         Pavardė71       4                5                1                4                8                10               10               4                8                2                2                7                2                4                0                10               
Vardas72         Pavardė72       4                0                7                4                4                1                1                6                0                0                9                5                7                9                4                0                
Vardas73         Pavardė73       6                7                0                0                8                2                10               0                3                1                4                6                10               5                9                6                
Vardas74         Pavardė74       5                0                2                5                9                6                5                10               5                1                7                10               1                0                7                6                
Vardas75         Pavardė75       10               5                0                3                5                6                9                9                6                10               6                4                6                0                1                9                
Vardas76         Pavardė76       9                6                2                5                1                10               1                2                7                0                1                5                6                1                1                9                
Vardas77         Pavardė77       9                3                1                2                1                1                5                4                3                0                3                6                5                7                8                2                
Vardas78         Pavardė78       5                8                2                1                6                1                4                1                2                7                1                10               3                7                0                8                
Vardas79         Pavardė79       10               2                0                2                7                10               2                4                10               3                4                2                5                3                0                9                
Vardas80         Pavardė80       2                0                3                7                6                8                7                7                7                3                2                5                5                6                2                10               
Vardas81         Pavardė81       3                5                4                9                8                7                0                9                3                4                5                10               5                4                4                1                
Vardas82         Pavardė82       5                7                8                9                3                5                2                8                0                10               8                0                2                10               6                9                
Vardas83         Pavardė83       8                3                10               10               6                5                10               8                5                5                10               6                9                2                7                0                
Vardas84         Pavardė84       0                1                2                0                4                7                1                8                8                7                3                7                6                4                3                6                
Vardas85         Pavardė85       6                8                10               3                1                3                6                8                10               9                2                0                3                0                1                5                
Vardas86         Pavardė86       8                1                5                1                0                3                9                2                6                1                1                4                1                6                9                6                
Vardas87         Pavardė87       5                0                8                0                5                10               7                0                6                0                6                3                7                6                1                1                
Vardas88         Pavardė88       3                8                4                0                7                2                6                7                2                9                2                0                2                8                7                4                
Vardas89         Pavardė89       9                0                9                8                6                1                7                7                7                2                1                7                3                4                7                6                
Vardas90         Pavardė90       6                8                10               3                9                8                1                1                0                1                10               3                0                3                8                2                
Vardas91         Pavardė91       8                2                6                9                10               3                4                7                1                5                4                10               0                4                6                7                
Vardas92         Pavardė92       7                4                0                9                2                0                3                8                6                6                6                10               8                0                7                4                
Vardas93         Pavardė93       6                9                5                5                5                1                8                0                6                0                6                10               0                6                10               10               
Vardas94         Pavardė94       5                7                2                1                2                10               10               8                5                9                0                9                5                3                0                2                
Vardas95         Pavardė95       0                1                2                6                2                4                6                0                5                6                10               7                6                9                1                0                
Vardas96         Pavardė96       4                4                2                4                1                6                8                6                0                8                4                1                5                8                3                5                
Vardas97         Pavardė97       4                7                9                6                8                10               8                7                8                8                4                0                2                6                9                7                
Vardas98         Pavardė98       5                6                1                8                3                7                0                5                1                2                5                7                1                10               0                6                
Vardas99         Pavardė99       9                1                8                5                0                8                1                8                2                9                0                2                3                10               8                1                
Vardas100        Pavardė100      9                6                10               6                2                7                5                9                5                1                3                3                5                5                6                3                
Vardas101        Pavardė101      6                5                5                1                2                7                9                9                9                9                2                5                10               6                9                3                
