Pavardė            Vardas              Galutinis (vid.)    
-----------------------------------------------------------------
Pavardė10          Vardas10            6.40                
Pavardė100         Vardas100           6.93                
Pavardė103         Vardas103           6.88                
Pavardė104         Vardas104           6.29                
Pavardė106         Vardas106           5.80                
Pavardė108         Vardas108           7.57                
Pavardė110         Vardas110           7.01                
Pavardė115         Vardas115           7.29                
Pavardė116         Vardas116           6.15                
Pavardė117         Vardas117           7.44                
Pavardė118         Vardas118           7.11                
Pavardė12          Vardas12            5.48                
Pavardė121         Vardas121           6.84                
Pavardė123         Vardas123           6.93                
Pavardė124         Vardas124           6.71                
Pavardė126         Vardas126           5.47                
Pavardė127         Vardas127           6.31                
Pavardė129         Vardas129           5.17                
Pavardė13          Vardas13            5.43                
Pavardė130         Vardas130           8.11                
Pavardė131         Vardas131           5.23                
Pavardė132         Vardas132           7.45                
Pavardė133         Vardas133           7.68                
Pavardė135         Vardas135           5.52                
Pavardė136         Vardas136           6.56                
Pavardė138         Vardas138           7.24                
Pavardė139         Vardas139           6.61                
Pavardė14          Vardas14            5.68                
Pavardė142         Vardas142           7.61                
Pavardė145         Vardas145           7.59                
Pavardė147         Vardas147           5.08                
Pavardė149         Vardas149           6.07                
Pavardė15          Vardas15            7.52                
Pavardė154         Vardas154           6.73                
Pavardė158         Vardas158           8.01                
Pavardė161         Vardas161           7.01                
Pavardė164         Vardas164           7.77                
Pavardė165         Vardas165           7.43                
Pavardė167         Vardas167           5.71                
Pavardė169         Vardas169           8.32                
Pavardė172         Vardas172           7.73                
Pavardė174         Vardas174           6.67                
Pavardė178         Vardas178           7.37                
Pavardė179         Vardas179           7.57                
Pavardė182         Vardas182           5.83                
Pavardė187         Vardas187           7.97                
Pavardė191         Vardas191           7.35                
Pavardė193         Vardas193           5.87                
Pavardė194         Vardas194           5.67                
Pavardė195         Vardas195           7.69                
Pavardė196         Vardas196           6.27                
Pavardė2           Vardas2             7.20                
Pavardė20          Vardas20            7.04                
Pavardė202         Vardas202           7.21                
Pavardė204         Vardas204           5.73                
Pavardė206         Vardas206           5.65                
Pavardė207         Vardas207           6.44                
Pavardė208         Vardas208           5.43                
Pavardė21          Vardas21            7.32                
Pavardė210         Vardas210           6.96                
Pavardė218         Vardas218           6.44                
Pavardė219         Vardas219           7.53                
Pavardė222         Vardas222           7.95                
Pavardė224         Vardas224           5.63                
Pavardė226         Vardas226           7.23                
Pavardė228         Vardas228           7.59                
Pavardė229         Vardas229           6.75                
Pavardė23          Vardas23            7.65                
Pavardė233         Vardas233           6.97                
Pavardė235         Vardas235           7.67                
Pavardė236         Vardas236           6.37                
Pavardė24          Vardas24            7.08                
Pavardė240         Vardas240           5.05                
Pavardė244         Vardas244           5.71                
Pavardė245         Vardas245           6.48                
Pavardė247         Vardas247           5.17                
Pavardė248         Vardas248           7.95                
Pavardė251         Vardas251           7.72                
Pavardė254         Vardas254           6.07                
Pavardė255         Vardas255           7.95                
Pavardė256         Vardas256           6.40                
Pavardė258         Vardas258           6.31                
Pavardė259         Vardas259           5.25                
Pavardė260         Vardas260           6.91                
Pavardė261         Vardas261           6.96                
Pavardė263         Vardas263           8.08                
Pavardė264         Vardas264           6.96                
Pavardė27          Vardas27            6.72                
Pavardė272         Vardas272           5.01                
Pavardė273         Vardas273           5.37                
Pavardė275         Vardas275           7.55                
Pavardė276         Vardas276           6.41                
Pavardė277         Vardas277           6.17                
Pavardė279         Vardas279           6.20                
Pavardė28          Vardas28            5.13                
Pavardė280         Vardas280           6.09                
Pavardė284         Vardas284           5.65                
Pavardė288         Vardas288           6.29                
Pavardė289         Vardas289           5.73                
Pavardė291         Vardas291           8.64                
Pavardė292         Vardas292           7.53                
Pavardė293         Vardas293           6.59                
Pavardė296         Vardas296           7.17                
Pavardė298         Vardas298           7.55                
Pavardė299         Vardas299           7.65                
Pavardė3           Vardas3             5.08                
Pavardė300         Vardas300           6.59                
Pavardė301         Vardas301           7.31                
Pavardė302         Vardas302           7.79                
Pavardė303         Vardas303           5.37                
Pavardė311         Vardas311           7.80                
Pavardė313         Vardas313           6.83                
Pavardė314         Vardas314           5.96                
Pavardė316         Vardas316           6.12                
Pavardė317         Vardas317           7.64                
Pavardė318         Vardas318           7.79                
Pavardė319         Vardas319           8.16                
Pavardė321         Vardas321           8.11                
Pavardė323         Vardas323           6.67                
Pavardė324         Vardas324           7.05                
Pavardė325         Vardas325           5.96                
Pavardė326         Vardas326           7.97                
Pavardė327         Vardas327           5.55                
Pavardė328         Vardas328           7.76                
Pavardė329         Vardas329           7.52                
Pavardė331         Vardas331           6.09                
Pavardė336         Vardas336           5.76                
Pavardė337         Vardas337           6.49                
Pavardė339         Vardas339           5.16                
Pavardė341         Vardas341           5.09                
Pavardė343         Vardas343           5.93                
Pavardė345         Vardas345           6.53                
Pavardė346         Vardas346           5.05                
Pavardė347         Vardas347           5.36                
Pavardė349         Vardas349           7.00                
Pavardė35          Vardas35            7.96                
Pavardė352         Vardas352           5.84                
Pavardė353         Vardas353           5.63                
Pavardė354         Vardas354           7.32                
Pavardė356         Vardas356           7.92                
Pavardė359         Vardas359           7.71                
Pavardė36          Vardas36            6.93                
Pavardė360         Vardas360           5.09                
Pavardė365         Vardas365           7.27                
Pavardė370         Vardas370           8.01                
Pavardė373         Vardas373           5.31                
Pavardė376         Vardas376           6.33                
Pavardė377         Vardas377           8.48                
Pavardė378         Vardas378           7.63                
Pavardė380         Vardas380           5.84                
Pavardė382         Vardas382           5.87                
Pavardė386         Vardas386           5.60                
Pavardė388         Vardas388           8.03                
Pavardė389         Vardas389           6.55                
Pavardė39          Vardas39            5.96                
Pavardė390         Vardas390           5.95                
Pavardė393         Vardas393           5.79                
Pavardė395         Vardas395           5.40                
Pavardė396         Vardas396           7.01                
Pavardė4           Vardas4             6.40                
Pavardė40          Vardas40            5.71                
Pavardė401         Vardas401           6.92                
Pavardė402         Vardas402           6.33                
Pavardė405         Vardas405           6.28                
Pavardė406         Vardas406           6.33                
Pavardė409         Vardas409           6.43                
Pavardė411         Vardas411           7.04                
Pavardė413         Vardas413           7.40                
Pavardė416         Vardas416           5.37                
Pavardė418         Vardas418           5.55                
Pavardė419         Vardas419           5.63                
Pavardė42          Vardas42            6.60                
Pavardė422         Vardas422           6.72                
Pavardė423         Vardas423           7.40                
Pavardė424         Vardas424           7.99                
Pavardė427         Vardas427           5.89                
