Pavardė       Vardas         Galutinis (vid.)    Galutinis (med.)    
-----------------------------------------------------------------
Pavardė1     Vardas1        3.92                4.00                
Pavardė100   Vardas100      3.88                3.40                
Pavardė101   Vardas101      4.56                4.80                
Pavardė108   Vardas108      3.72                3.40                
Pavardė109   Vardas109      4.64                4.40                
Pavardė11    Vardas11       2.48                2.00                
Pavardė111   Vardas111      1.84                2.00                
Pavardė114   Vardas114      4.36                4.60                
Pavardė115   Vardas115      3.76                3.60                
Pavardė116   Vardas116      1.84                2.00                
Pavardė117   Vardas117      4.88                4.80                
Pavardė119   Vardas119      3.00                2.60                
Pavardė121   Vardas121      1.44                1.20                
Pavardė122   Vardas122      1.52                1.20                
Pavardė124   Vardas124      2.60                2.60                
Pavardė129   Vardas129      2.00                2.00                
Pavardė136   Vardas136      2.16                2.80                
Pavardė138   Vardas138      4.72                5.20                
Pavardė14    Vardas14       3.12                3.20                
Pavardė141   Vardas141      3.84                4.00                
Pavardė142   Vardas142      3.88                3.40                
Pavardė144   Vardas144      4.16                4.00                
Pavardė145   Vardas145      2.04                1.80                
Pavardė15    Vardas15       3.84                3.60                
Pavardė150   Vardas150      3.56                3.40                
Pavardė151   Vardas151      2.64                2.40                
Pavardė154   Vardas154      1.44                1.20                
Pavardė155   Vardas155      2.00                1.60                
Pavardė156   Vardas156      4.48                4.80                
Pavardė157   Vardas157      4.12                4.20                
Pavardė158   Vardas158      1.96                1.40                
Pavardė160   Vardas160      3.16                2.60                
Pavardė161   Vardas161      1.96                2.20                
Pavardė163   Vardas163      3.28                3.20                
Pavardė164   Vardas164      2.08                1.60                
Pavardė165   Vardas165      2.88                2.80                
Pavardė166   Vardas166      3.00                3.00                
Pavardė170   Vardas170      4.52                4.20                
Pavardė171   Vardas171      4.72                4.40                
Pavardė172   Vardas172      2.40                2.80                
Pavardė175   Vardas175      3.12                3.60                
Pavardė178   Vardas178      2.84                3.00                
Pavardė179   Vardas179      4.96                4.00                
Pavardė180   Vardas180      3.44                3.20                
Pavardė183   Vardas183      2.72                2.40                
Pavardė189   Vardas189      3.72                4.20                
Pavardė19    Vardas19       4.88                5.20                
Pavardė191   Vardas191      2.56                2.40                
Pavardė192   Vardas192      2.88                3.20                
Pavardė197   Vardas197      3.64                4.20                
Pavardė199   Vardas199      4.32                4.00                
Pavardė2     Vardas2        3.12                2.40                
Pavardė20    Vardas20       2.24                2.00                
Pavardė201   Vardas201      4.36                4.60                
Pavardė202   Vardas202      2.20                1.80                
Pavardė203   Vardas203      1.76                1.20                
Pavardė204   Vardas204      1.36                0.80                
Pavardė206   Vardas206      3.20                3.20                
Pavardė208   Vardas208      2.76                2.60                
Pavardė209   Vardas209      3.08                3.00                
Pavardė213   Vardas213      2.64                3.60                
Pavardė215   Vardas215      4.04                4.20                
Pavardė218   Vardas218      1.84                2.00                
Pavardė22    Vardas22       4.28                3.80                
Pavardė220   Vardas220      3.44                4.00                
Pavardė221   Vardas221      3.84                3.20                
Pavardė224   Vardas224      2.20                1.40                
Pavardė225   Vardas225      4.04                5.00                
Pavardė226   Vardas226      2.04                1.80                
Pavardė228   Vardas228      3.04                3.20                
Pavardė231   Vardas231      1.60                1.20                
Pavardė232   Vardas232      3.64                2.60                
Pavardė233   Vardas233      3.60                4.00                
Pavardė236   Vardas236      2.08                2.00                
Pavardė237   Vardas237      3.84                3.60                
Pavardė239   Vardas239      4.84                4.60                
Pavardė241   Vardas241      4.20                4.60                
Pavardė242   Vardas242      3.00                3.00                
Pavardė243   Vardas243      2.76                2.20                
Pavardė245   Vardas245      4.16                3.60                
Pavardė246   Vardas246      3.20                3.20                
Pavardė247   Vardas247      2.00                1.20                
Pavardė248   Vardas248      2.76                2.20                
Pavardė25    Vardas25       2.00                1.60                
Pavardė250   Vardas250      4.28                4.60                
Pavardė252   Vardas252      3.08                3.40                
Pavardė254   Vardas254      3.88                3.80                
Pavardė255   Vardas255      4.16                4.80                
Pavardė256   Vardas256      2.48                2.80                
Pavardė26    Vardas26       4.64                5.20                
Pavardė265   Vardas265      2.92                3.80                
Pavardė268   Vardas268      4.08                4.40                
Pavardė269   Vardas269      4.04                3.80                
Pavardė27    Vardas27       2.32                2.80                
Pavardė270   Vardas270      3.52                4.00                
Pavardė275   Vardas275      3.68                3.20                
Pavardė276   Vardas276      2.48                2.80                
Pavardė277   Vardas277      2.64                2.80                
Pavardė278   Vardas278      1.76                0.80                
Pavardė280   Vardas280      2.64                2.80                
Pavardė283   Vardas283      3.36                4.00                
Pavardė285   Vardas285      3.84                3.60                
Pavardė286   Vardas286      2.88                2.80                
Pavardė288   Vardas288      3.84                4.00                
Pavardė29    Vardas29       3.44                4.40                
Pavardė291   Vardas291      4.60                4.60                
Pavardė294   Vardas294      4.88                4.80                
Pavardė295   Vardas295      3.88                3.80                
Pavardė296   Vardas296      2.92                3.00                
Pavardė298   Vardas298      1.20                0.80                
Pavardė303   Vardas303      2.16                2.40                
Pavardė307   Vardas307      3.72                3.80                
Pavardė308   Vardas308      3.80                3.40                
Pavardė31    Vardas31       4.08                4.00                
Pavardė310   Vardas310      1.68                0.80                
Pavardė313   Vardas313      3.64                3.40                
Pavardė314   Vardas314      2.00                2.40                
Pavardė316   Vardas316      1.28                1.20                
Pavardė317   Vardas317      1.64                1.00                
Pavardė318   Vardas318      3.32                3.80                
Pavardė319   Vardas319      3.32                3.40                
Pavardė32    Vardas32       3.72                3.00                
Pavardė321   Vardas321      1.88                2.20                
Pavardė322   Vardas322      1.60                1.60                
Pavardė323   Vardas323      3.12                3.60                
Pavardė324   Vardas324      2.24                2.40                
Pavardė327   Vardas327      2.80                2.40                
Pavardė328   Vardas328      1.92                2.00                
Pavardė329   Vardas329      4.04                4.60                
Pavardė333   Vardas333      2.52                2.20                
Pavardė335   Vardas335      2.88                3.60                
Pavardė336   Vardas336      3.16                2.60                
Pavardė337   Vardas337      2.56                2.40                
Pavardė34    Vardas34       3.68                3.60                
Pavardė341   Vardas341      3.92                4.00                
Pavardė344   Vardas344      3.72                3.80                
Pavardė345   Vardas345      4.24                4.00                
Pavardė346   Vardas346      3.12                4.00                
Pavardė348   Vardas348      4.04                3.40                
Pavardė350   Vardas350      3.72                3.00                
Pavardė351   Vardas351      2.40                2.80                
Pavardė353   Vardas353      4.08                3.60                
Pavardė354   Vardas354      3.04                2.80                
Pavardė357   Vardas357      3.04                3.20                
Pavardė362   Vardas362      3.32                3.00                
Pavardė364   Vardas364      4.44                4.20                
Pavardė365   Vardas365      4.12                4.20                
Pavardė366   Vardas366      3.24                3.40                
Pavardė367   Vardas367      2.92                3.00                
Pavardė369   Vardas369      2.12                1.80                
Pavardė370   Vardas370      3.80                3.80                
Pavardė371   Vardas371      2.96                3.20                
Pavardė372   Vardas372      3.56                3.40                
Pavardė373   Vardas373      2.56                2.80                
Pavardė374   Vardas374      0.72                0.80                
Pavardė376   Vardas376      4.24                3.60                
Pavardė378   Vardas378      3.96                3.80                
Pavardė38    Vardas38       4.84                3.80                
Pavardė380   Vardas380      2.08                2.40                
Pavardė381   Vardas381      2.44                1.80                
Pavardė382   Vardas382      3.08                3.80                
Pavardė384   Vardas384      3.88                4.20                
Pavardė385   Vardas385      4.24                4.80                
Pavardė388   Vardas388      4.16                4.40                
Pavardė389   Vardas389      3.60                4.00                
Pavardė39    Vardas39       3.20                3.20                
Pavardė391   Vardas391      3.48                2.60                
Pavardė393   Vardas393      2.36                1.80                
Pavardė396   Vardas396      4.96                4.80                
Pavardė398   Vardas398      2.80                3.20                
Pavardė399   Vardas399      2.16                1.60                
Pavardė400   Vardas400      4.12                4.20                
Pavardė402   Vardas402      2.56                3.20                
Pavardė404   Vardas404      2.00                2.00                
Pavardė405   Vardas405      4.84                4.20                
Pavardė41    Vardas41       4.16                4.40                
Pavardė410   Vardas410      2.00                2.00                
Pavardė412   Vardas412      3.20                3.20                
Pavardė415   Vardas415      3.80                4.60                
Pavardė416   Vardas416      2.68                3.00                
Pavardė418   Vardas418      3.56                3.40                
Pavardė419   Vardas419      2.16                2.00                
Pavardė42    Vardas42       4.96                4.80                
Pavardė420   Vardas420      2.88                2.80                
Pavardė422   Vardas422      4.00                3.60                
Pavardė423   Vardas423      4.80                4.80                
Pavardė426   Vardas426      1.12                1.20                
Pavardė427   Vardas427      1.04                0.80                
Pavardė429   Vardas429      1.12                0.40                
Pavardė431   Vardas431      1.92                2.00                
Pavardė436   Vardas436      4.36                3.00                
Pavardė438   Vardas438      3.76                4.00                
Pavardė440   Vardas440      4.20                5.00                
Pavardė443   Vardas443      2.80                2.80                
Pavardė444   Vardas444      3.28                2.80                
Pavardė446   Vardas446      2.88                2.40                
Pavardė449   Vardas449      3.96                4.20                
Pavardė453   Vardas453      4.00                3.20                
Pavardė455   Vardas455      4.76                4.60                
Pavardė456   Vardas456      2.32                2.00                
Pavardė457   Vardas457      4.08                4.00                
Pavardė459   Vardas459      3.24                3.00                
Pavardė46    Vardas46       4.76                4.60                
Pavardė460   Vardas460      2.20                1.80                
Pavardė464   Vardas464      4.16                4.00                
Pavardė466   Vardas466      4.56                4.80                
Pavardė469   Vardas469      2.04                1.80                
Pavardė47    Vardas47       4.16                4.40                
Pavardė474   Vardas474      2.76                3.40                
Pavardė475   Vardas475      3.00                3.00                
Pavardė476   Vardas476      2.44                2.20                
Pavardė480   Vardas480      3.96                3.80                
Pavardė481   Vardas481      2.08                2.00                
Pavardė482   Vardas482      3.36                2.80                
Pavardė487   Vardas487      2.20                2.20                
Pavardė489   Vardas489      3.20                2.80                
Pavardė490   Vardas490      3.48                3.80                
Pavardė493   Vardas493      4.84                5.40                
Pavardė497   Vardas497      2.08                2.00                
Pavardė498   Vardas498      3.16                3.00                
Pavardė5     Vardas5        1.36                1.20                
Pavardė50    Vardas50       3.80                3.80                
Pavardė501   Vardas501      1.72                0.60                
Pavardė506   Vardas506      4.96                4.80                
Pavardė507   Vardas507      4.28                5.00                
Pavardė512   Vardas512      1.96                1.40                
Pavardė513   Vardas513      3.88                3.00                
Pavardė518   Vardas518      4.92                5.00                
Pavardė52    Vardas52       2.40                2.80                
Pavardė522   Vardas522      3.60                2.80                
Pavardė526   Vardas526      4.72                5.20                
Pavardė528   Vardas528      2.08                2.00                
Pavardė529   Vardas529      4.28                4.60                
Pavardė53    Vardas53       4.80                4.40                
Pavardė530   Vardas530      3.84                4.00                
Pavardė531   Vardas531      1.44                0.80                
Pavardė532   Vardas532      1.96                1.40                
Pavardė536   Vardas536      2.56                2.80                
Pavardė538   Vardas538      3.92                4.00                
Pavardė54    Vardas54       2.80                2.40                
Pavardė542   Vardas542      3.24                3.40                
Pavardė543   Vardas543      4.68                4.60                
Pavardė544   Vardas544      4.68                4.20                
Pavardė545   Vardas545      4.52                4.20                
Pavardė548   Vardas548      3.72                3.00                
Pavardė549   Vardas549      4.48                5.20                
Pavardė55    Vardas55       2.84                3.40                
Pavardė551   Vardas551      4.52                3.80                
Pavardė555   Vardas555      3.08                2.60                
Pavardė556   Vardas556      1.44                0.40                
Pavardė557   Vardas557      4.00                3.20                
Pavardė558   Vardas558      4.00                4.40                
Pavardė559   Vardas559      2.72                2.80                
Pavardė561   Vardas561      2.64                2.80                
Pavardė562   Vardas562      2.40                2.80                
Pavardė563   Vardas563      4.04                4.20                
Pavardė568   Vardas568      4.64                4.80                
Pavardė569   Vardas569      0.64                0.40                
Pavardė570   Vardas570      3.80                4.60                
Pavardė572   Vardas572      3.08                3.40                
Pavardė573   Vardas573      3.08                2.60                
Pavardė574   Vardas574      4.48                4.80                
Pavardė575   Vardas575      2.32                2.40                
Pavardė577   Vardas577      3.80                3.80                
Pavardė579   Vardas579      3.04                3.20                
Pavardė581   Vardas581      3.24                3.40                
Pavardė582   Vardas582      2.84                3.00                
Pavardė584   Vardas584      4.04                4.20                
Pavardė585   Vardas585      1.76                2.00                
Pavardė586   Vardas586      1.60                1.20                
Pavardė587   Vardas587      4.36                4.20                
Pavardė588   Vardas588      2.60                2.20                
Pavardė59    Vardas59       2.20                1.80                
Pavardė590   Vardas590      2.48                2.80                
Pavardė591   Vardas591      3.72                4.20                
Pavardė592   Vardas592      2.92                2.60                
Pavardė593   Vardas593      3.08                3.00                
Pavardė594   Vardas594      3.84                3.60                
Pavardė6     Vardas6        1.36                1.60                
Pavardė600   Vardas600      3.80                3.40                
Pavardė601   Vardas601      3.24                3.80                
Pavardė603   Vardas603      2.88                3.20                
Pavardė604   Vardas604      1.68                1.60                
Pavardė605   Vardas605      4.04                4.60                
Pavardė608   Vardas608      3.16                3.00                
Pavardė609   Vardas609      4.36                4.20                
Pavardė612   Vardas612      3.00                3.40                
Pavardė613   Vardas613      2.48                2.00                
Pavardė614   Vardas614      3.00                3.40                
Pavardė617   Vardas617      2.84                2.20                
Pavardė619   Vardas619      3.12                2.80                
Pavardė62    Vardas62       2.92                3.00                
Pavardė620   Vardas620      3.36                3.60                
Pavardė626   Vardas626      3.32                3.00                
Pavardė628   Vardas628      4.64                4.80                
Pavardė63    Vardas63       2.64                2.80                
Pavardė630   Vardas630      2.28                1.80                
Pavardė633   Vardas633      2.08                1.20                
Pavardė64    Vardas64       4.36                4.60                
Pavardė640   Vardas640      2.32                2.40                
Pavardė641   Vardas641      4.28                3.80                
Pavardė642   Vardas642      4.68                5.00                
Pavardė643   Vardas643      3.08                2.20                
Pavardė644   Vardas644      4.40                4.00                
Pavardė645   Vardas645      2.04                1.80                
Pavardė646   Vardas646      1.76                2.40                
Pavardė648   Vardas648      3.00                3.00                
Pavardė649   Vardas649      3.64                3.00                
Pavardė65    Vardas65       2.28                2.60                
Pavardė656   Vardas656      3.32                3.00                
Pavardė657   Vardas657      2.60                3.00                
Pavardė658   Vardas658      4.64                4.00                
Pavardė659   Vardas659      4.60                4.60                
Pavardė66    Vardas66       2.16                2.40                
Pavardė660   Vardas660      4.56                4.40                
Pavardė661   Vardas661      3.44                4.00                
Pavardė666   Vardas666      2.80                2.40                
Pavardė667   Vardas667      1.88                1.00                
Pavardė668   Vardas668      4.08                3.60                
Pavardė67    Vardas67       2.24                2.40                
Pavardė672   Vardas672      4.28                5.00                
Pavardė674   Vardas674      3.64                4.20                
Pavardė678   Vardas678      2.28                2.60                
Pavardė679   Vardas679      4.28                3.80                
Pavardė680   Vardas680      4.04                4.20                
Pavardė681   Vardas681      4.48                3.60                
Pavardė683   Vardas683      1.84                1.60                
Pavardė69    Vardas69       4.12                3.00                
Pavardė691   Vardas691      1.20                0.80                
Pavardė692   Vardas692      4.80                4.00                
Pavardė694   Vardas694      1.12                1.20                
Pavardė697   Vardas697      4.00                4.80                
Pavardė699   Vardas699      4.28                4.20                
Pavardė70    Vardas70       3.56                3.40                
Pavardė702   Vardas702      3.32                3.00                
Pavardė704   Vardas704      4.04                4.20                
Pavardė706   Vardas706      3.60                4.80                
Pavardė707   Vardas707      3.08                3.00                
Pavardė708   Vardas708      2.80                2.40                
Pavardė711   Vardas711      2.60                3.00                
Pavardė713   Vardas713      4.84                3.80                
Pavardė717   Vardas717      3.96                4.20                
Pavardė719   Vardas719      3.60                3.20                
Pavardė721   Vardas721      3.48                3.80                
Pavardė722   Vardas722      3.08                3.40                
Pavardė725   Vardas725      4.40                4.00                
Pavardė726   Vardas726      3.92                4.80                
Pavardė727   Vardas727      4.48                4.40                
