Vardas              Pavardė            ND1              ND2              ND3              ND4              ND5              ND6              ND7              ND8              ND9              ND10             ND11             ND12             ND13             ND14             ND15             EGZ              
Vardas1             Pavardė1           0                6                1                3                10               6                2                7                9                9                5                3                5                6                3                4                
Vardas10            Pavardė10          1                5                4                5                8                6                5                4                1                5                0                5                1                10               0                8                
Vardas100           Pavardė100         10               6                1                6                9                4                5                1                2                2                8                1                10               10               5                8                
Vardas1000          Pavardė1000        8                7                9                2                8                2                8                10               0                2                3                1                0                5                7                1                
Vardas101           Pavardė101         4                2                9                9                3                5                7                5                6                3                8                2                4                1                5                0                
Vardas102           Pavardė102         5                0                7                0                5                6                2                7                1                8                8                0                10               5                5                1                
Vardas103           Pavardė103         6                7                9                7                2                9                1                9                4                4                3                3                4                9                1                8                
Vardas104           Pavardė104         4                0                4                6                1                2                2                10               2                6                3                1                9                1                5                8                
Vardas105           Pavardė105         8                10               2                8                10               9                8                3                3                3                8                0                6                3                5                3                
Vardas106           Pavardė106         7                2                1                7                5                0                4                10               4                3                1                6                1                3                6                7                
Vardas107           Pavardė107         7                10               5                7                10               1                0                1                5                7                1                6                7                9                7                1                
Vardas108           Pavardė108         9                10               7                1                3                9                10               9                4                9                6                8                6                9                4                8                
Vardas109           Pavardė109         9                2                9                1                0                4                4                5                0                0                3                9                2                7                7                2                
Vardas11            Pavardė11          4                0                9                2                10               5                8                6                6                1                3                6                3                1                6                0                
Vardas110           Pavardė110         2                8                4                0                3                6                9                6                6                9                10               0                4                7                9                8                
Vardas111           Pavardė111         2                8                5                10               7                0                0                9                1                8                5                3                6                2                10               3                
Vardas112           Pavardė112         9                4                3                3                3                3                8                7                5                7                8                2                2                10               8                2                
Vardas113           Pavardė113         4                7                7                3                10               3                1                8                6                3                2                4                1                3                7                3                
Vardas114           Pavardė114         4                0                3                7                6                4                1                3                0                9                4                10               10               4                7                3                
Vardas115           Pavardė115         5                7                7                0                5                4                8                3                0                8                10               1                0                6                7                9                
Vardas116           Pavardė116         4                8                7                5                2                1                0                1                0                3                8                8                8                8                10               7                
Vardas117           Pavardė117         3                0                3                3                0                6                0                9                1                5                2                4                4                9                5                10               
Vardas118           Pavardė118         9                5                8                5                8                10               3                9                6                8                6                7                7                8                10               7                
