Pavardė       Vardas         Galutinis (vid.)    Galutinis (med.)    
-----------------------------------------------------------------
Pavardė1     Vardas1        4.56                4.80                
Pavardė10    Vardas10       4.92                3.80                
Pavardė100   Vardas100      3.16                3.00                
Pavardė1000  Vardas1000     1.84                0.80                
Pavardė101   Vardas101      4.36                4.20                
Pavardė104   Vardas104      3.24                3.00                
Pavardė106   Vardas106      3.24                2.20                
Pavardė109   Vardas109      0.80                0.40                
Pavardė110   Vardas110      4.00                4.40                
Pavardė111   Vardas111      3.84                3.20                
Pavardė112   Vardas112      0.40                0.00                
Pavardė113   Vardas113      3.20                3.20                
Pavardė114   Vardas114      2.12                1.80                
Pavardė115   Vardas115      2.84                3.00                
Pavardė116   Vardas116      4.16                4.00                
Pavardė117   Vardas117      2.28                2.60                
Pavardė119   Vardas119      2.36                2.20                
Pavardė122   Vardas122      3.12                3.20                
Pavardė124   Vardas124      1.52                1.60                
Pavardė125   Vardas125      2.76                2.60                
Pavardė127   Vardas127      3.92                4.40                
Pavardė129   Vardas129      3.96                3.80                
Pavardė130   Vardas130      2.88                2.80                
Pavardė131   Vardas131      1.88                1.80                
Pavardė132   Vardas132      2.84                3.00                
Pavardė133   Vardas133      4.84                5.00                
Pavardė135   Vardas135      3.04                3.60                
Pavardė136   Vardas136      2.80                2.80                
Pavardė142   Vardas142      3.04                3.20                
Pavardė144   Vardas144      1.36                0.40                
Pavardė145   Vardas145      4.96                4.80                
Pavardė148   Vardas148      4.92                5.40                
Pavardė150   Vardas150      2.40                3.60                
Pavardė151   Vardas151      3.60                3.20                
Pavardė152   Vardas152      3.00                2.60                
Pavardė153   Vardas153      2.48                2.80                
Pavardė154   Vardas154      2.64                3.60                
Pavardė157   Vardas157      2.56                2.40                
Pavardė160   Vardas160      2.44                2.20                
Pavardė161   Vardas161      3.84                3.60                
Pavardė162   Vardas162      1.28                0.80                
Pavardė163   Vardas163      2.20                1.40                
Pavardė164   Vardas164      4.76                4.60                
Pavardė165   Vardas165      2.48                2.80                
Pavardė167   Vardas167      4.72                4.80                
Pavardė169   Vardas169      4.28                3.80                
Pavardė17    Vardas17       3.16                3.00                
Pavardė174   Vardas174      3.72                3.40                
Pavardė178   Vardas178      2.64                2.80                
Pavardė179   Vardas179      3.76                4.40                
Pavardė18    Vardas18       2.76                2.20                
Pavardė180   Vardas180      3.48                2.60                
Pavardė182   Vardas182      3.76                3.20                
Pavardė183   Vardas183      2.48                2.80                
Pavardė184   Vardas184      3.60                2.80                
Pavardė185   Vardas185      4.88                5.20                
Pavardė187   Vardas187      4.92                5.00                
Pavardė189   Vardas189      3.00                2.60                
Pavardė190   Vardas190      4.72                4.00                
Pavardė191   Vardas191      1.32                1.00                
Pavardė192   Vardas192      1.84                1.20                
Pavardė193   Vardas193      1.52                1.60                
Pavardė195   Vardas195      4.60                5.00                
Pavardė197   Vardas197      3.96                3.80                
Pavardė198   Vardas198      3.52                3.60                
Pavardė2     Vardas2        3.76                3.60                
Pavardė200   Vardas200      2.16                2.00                
Pavardė201   Vardas201      2.72                2.80                
Pavardė203   Vardas203      4.88                4.40                
Pavardė204   Vardas204      4.88                4.80                
Pavardė209   Vardas209      3.56                4.20                
Pavardė21    Vardas21       3.12                2.80                
Pavardė211   Vardas211      4.96                4.40                
Pavardė213   Vardas213      2.68                3.00                
Pavardė216   Vardas216      2.60                1.80                
Pavardė218   Vardas218      4.80                4.80                
Pavardė219   Vardas219      3.04                2.40                
Pavardė22    Vardas22       4.24                4.40                
Pavardė220   Vardas220      3.04                3.20                
Pavardė222   Vardas222      4.44                5.00                
Pavardė223   Vardas223      3.04                3.20                
Pavardė23    Vardas23       2.24                2.00                
Pavardė231   Vardas231      3.00                3.40                
Pavardė235   Vardas235      4.48                4.80                
Pavardė238   Vardas238      2.24                2.40                
Pavardė239   Vardas239      4.68                5.00                
Pavardė24    Vardas24       3.28                3.60                
Pavardė240   Vardas240      4.56                4.80                
Pavardė248   Vardas248      3.36                2.80                
Pavardė249   Vardas249      4.32                4.00                
Pavardė251   Vardas251      4.48                4.40                
Pavardė253   Vardas253      3.28                3.20                
Pavardė254   Vardas254      3.28                3.60                
Pavardė256   Vardas256      2.40                2.00                
Pavardė257   Vardas257      2.36                2.60                
Pavardė260   Vardas260      3.00                3.00                
Pavardė261   Vardas261      2.28                2.60                
Pavardė262   Vardas262      4.40                4.00                
Pavardė263   Vardas263      1.44                1.20                
Pavardė264   Vardas264      4.72                4.00                
Pavardė266   Vardas266      4.88                6.00                
Pavardė267   Vardas267      2.08                2.00                
Pavardė271   Vardas271      4.88                5.60                
Pavardė274   Vardas274      2.88                2.80                
Pavardė275   Vardas275      3.56                4.20                
Pavardė277   Vardas277      2.20                1.40                
Pavardė279   Vardas279      4.96                4.00                
Pavardė28    Vardas28       4.20                4.60                
Pavardė280   Vardas280      2.84                3.00                
Pavardė284   Vardas284      3.00                2.20                
Pavardė286   Vardas286      2.68                3.00                
Pavardė287   Vardas287      1.76                1.60                
Pavardė29    Vardas29       1.56                1.00                
Pavardė290   Vardas290      3.64                4.20                
Pavardė291   Vardas291      3.96                3.80                
Pavardė293   Vardas293      2.84                2.60                
Pavardė294   Vardas294      4.88                5.20                
Pavardė295   Vardas295      4.52                4.60                
Pavardė296   Vardas296      3.96                3.40                
Pavardė297   Vardas297      3.96                3.80                
Pavardė30    Vardas30       4.84                3.80                
Pavardė300   Vardas300      4.16                3.60                
Pavardė302   Vardas302      4.96                4.80                
Pavardė303   Vardas303      1.76                1.60                
Pavardė305   Vardas305      2.64                2.00                
Pavardė307   Vardas307      2.00                3.20                
Pavardė312   Vardas312      4.40                4.40                
Pavardė313   Vardas313      2.44                2.20                
Pavardė314   Vardas314      4.08                4.40                
Pavardė315   Vardas315      3.56                3.40                
Pavardė316   Vardas316      3.00                2.20                
Pavardė320   Vardas320      4.52                5.00                
Pavardė321   Vardas321      4.28                4.60                
Pavardė322   Vardas322      3.40                3.80                
Pavardė323   Vardas323      4.04                4.60                
Pavardė329   Vardas329      3.12                3.20                
Pavardė330   Vardas330      4.16                4.40                
Pavardė332   Vardas332      2.76                3.80                
Pavardė333   Vardas333      2.56                2.80                
Pavardė337   Vardas337      4.32                3.60                
Pavardė34    Vardas34       4.72                4.80                
Pavardė340   Vardas340      1.12                1.20                
Pavardė342   Vardas342      4.76                5.00                
Pavardė343   Vardas343      4.28                4.20                
Pavardė347   Vardas347      4.08                4.00                
Pavardė348   Vardas348      3.40                3.00                
Pavardė349   Vardas349      4.32                4.00                
Pavardė35    Vardas35       1.80                1.80                
Pavardė350   Vardas350      4.68                5.00                
Pavardė351   Vardas351      3.00                3.00                
Pavardė352   Vardas352      4.60                5.00                
Pavardė353   Vardas353      4.36                3.80                
Pavardė354   Vardas354      2.84                2.60                
Pavardė355   Vardas355      1.84                1.60                
Pavardė357   Vardas357      4.48                4.40                
Pavardė36    Vardas36       3.68                4.00                
Pavardė360   Vardas360      1.84                2.00                
Pavardė365   Vardas365      0.96                0.80                
Pavardė366   Vardas366      4.40                4.40                
Pavardė368   Vardas368      2.72                2.00                
Pavardė370   Vardas370      4.80                4.00                
Pavardė373   Vardas373      2.84                3.40                
Pavardė374   Vardas374      2.76                2.20                
Pavardė379   Vardas379      3.88                4.60                
Pavardė38    Vardas38       3.12                2.80                
Pavardė381   Vardas381      4.76                4.20                
Pavardė384   Vardas384      4.36                3.80                
Pavardė386   Vardas386      3.56                2.60                
Pavardė387   Vardas387      4.08                4.00                
Pavardė390   Vardas390      4.88                4.40                
Pavardė392   Vardas392      3.00                3.00                
Pavardė397   Vardas397      4.00                4.00                
Pavardė405   Vardas405      4.08                3.60                
Pavardė406   Vardas406      2.64                2.80                
Pavardė407   Vardas407      2.76                3.80                
Pavardė41    Vardas41       4.40                3.60                
Pavardė411   Vardas411      2.48                2.80                
Pavardė415   Vardas415      3.72                4.20                
Pavardė417   Vardas417      2.68                3.00                
Pavardė418   Vardas418      3.68                3.60                
Pavardė419   Vardas419      4.52                3.80                
Pavardė421   Vardas421      4.44                3.80                
Pavardė422   Vardas422      3.92                4.80                
Pavardė423   Vardas423      3.32                3.00                
Pavardė425   Vardas425      2.88                3.20                
Pavardė426   Vardas426      3.76                4.40                
Pavardė427   Vardas427      4.52                4.60                
Pavardė431   Vardas431      4.96                5.60                
Pavardė432   Vardas432      2.36                2.20                
Pavardė438   Vardas438      2.80                2.80                
Pavardė44    Vardas44       2.60                3.00                
Pavardė443   Vardas443      1.96                1.40                
Pavardė445   Vardas445      3.76                3.60                
Pavardė446   Vardas446      2.28                2.60                
Pavardė449   Vardas449      1.60                0.80                
Pavardė45    Vardas45       2.24                2.40                
Pavardė451   Vardas451      2.56                2.00                
Pavardė452   Vardas452      1.80                1.80                
Pavardė454   Vardas454      1.76                1.60                
Pavardė458   Vardas458      2.60                3.00                
Pavardė461   Vardas461      1.44                1.20                
Pavardė462   Vardas462      2.52                3.00                
Pavardė465   Vardas465      2.04                1.40                
Pavardė466   Vardas466      4.80                4.80                
Pavardė468   Vardas468      2.88                2.40                
Pavardė47    Vardas47       3.20                4.00                
Pavardė471   Vardas471      4.92                5.00                
