Pavardė            Vardas              Galutinis (vid.)    
-----------------------------------------------------------------
Pavardė624        Vardas624           5.00                
Pavardė819        Vardas819           5.00                
Pavardė286        Vardas286           5.00                
Pavardė883        Vardas883           5.00                
Pavardė184        Vardas184           5.00                
Pavardė207        Vardas207           5.00                
Pavardė496        Vardas496           5.00                
Pavardė804        Vardas804           5.00                
Pavardė514        Vardas514           5.01                
Pavardė451        Vardas451           5.03                
Pavardė946        Vardas946           5.03                
Pavardė734        Vardas734           5.03                
Pavardė845        Vardas845           5.03                
Pavardė376        Vardas376           5.04                
Pavardė50         Vardas50            5.05                
Pavardė532        Vardas532           5.07                
Pavardė292        Vardas292           5.07                
Pavardė283        Vardas283           5.07                
Pavardė972        Vardas972           5.08                
Pavardė916        Vardas916           5.08                
Pavardė394        Vardas394           5.08                
Pavardė671        Vardas671           5.08                
Pavardė452        Vardas452           5.08                
Pavardė473        Vardas473           5.09                
Pavardė668        Vardas668           5.09                
Pavardė799        Vardas799           5.11                
Pavardė48         Vardas48            5.11                
Pavardė167        Vardas167           5.12                
Pavardė684        Vardas684           5.13                
Pavardė540        Vardas540           5.13                
Pavardė139        Vardas139           5.13                
Pavardė873        Vardas873           5.16                
Pavardė248        Vardas248           5.17                
Pavardė988        Vardas988           5.19                
Pavardė574        Vardas574           5.20                
Pavardė239        Vardas239           5.20                
Pavardė835        Vardas835           5.20                
Pavardė801        Vardas801           5.21                
Pavardė483        Vardas483           5.21                
Pavardė274        Vardas274           5.21                
Pavardė120        Vardas120           5.21                
Pavardė784        Vardas784           5.23                
Pavardė547        Vardas547           5.24                
Pavardė609        Vardas609           5.25                
Pavardė569        Vardas569           5.25                
Pavardė378        Vardas378           5.27                
Pavardė927        Vardas927           5.27                
Pavardė904        Vardas904           5.27                
Pavardė448        Vardas448           5.28                
Pavardė677        Vardas677           5.31                
Pavardė980        Vardas980           5.31                
Pavardė18         Vardas18            5.32                
Pavardė907        Vardas907           5.32                
Pavardė515        Vardas515           5.32                
Pavardė959        Vardas959           5.33                
Pavardė96         Vardas96            5.33                
Pavardė216        Vardas216           5.33                
Pavardė697        Vardas697           5.35                
Pavardė512        Vardas512           5.35                
Pavardė787        Vardas787           5.36                
Pavardė458        Vardas458           5.36                
Pavardė100        Vardas100           5.36                
Pavardė268        Vardas268           5.37                
Pavardė433        Vardas433           5.37                
Pavardė517        Vardas517           5.39                
Pavardė174        Vardas174           5.39                
Pavardė194        Vardas194           5.40                
Pavardė450        Vardas450           5.40                
Pavardė862        Vardas862           5.41                
Pavardė655        Vardas655           5.41                
Pavardė511        Vardas511           5.41                
Pavardė682        Vardas682           5.41                
Pavardė817        Vardas817           5.41                
Pavardė73         Vardas73            5.41                
Pavardė14         Vardas14            5.43                
Pavardė219        Vardas219           5.43                
Pavardė732        Vardas732           5.43                
Pavardė900        Vardas900           5.44                
Pavardė543        Vardas543           5.45                
Pavardė417        Vardas417           5.45                
Pavardė526        Vardas526           5.47                
Pavardė884        Vardas884           5.47                
Pavardė327        Vardas327           5.48                
Pavardė223        Vardas223           5.48                
Pavardė249        Vardas249           5.48                
Pavardė430        Vardas430           5.48                
Pavardė215        Vardas215           5.49                
Pavardė522        Vardas522           5.49                
Pavardė990        Vardas990           5.51                
Pavardė691        Vardas691           5.52                
Pavardė705        Vardas705           5.52                
Pavardė188        Vardas188           5.52                
Pavardė278        Vardas278           5.52                
Pavardė503        Vardas503           5.53                
Pavardė937        Vardas937           5.55                
Pavardė507        Vardas507           5.55                
Pavardė849        Vardas849           5.56                
Pavardė520        Vardas520           5.57                
Pavardė583        Vardas583           5.57                
Pavardė203        Vardas203           5.60                
Pavardė372        Vardas372           5.63                
Pavardė805        Vardas805           5.63                
Pavardė641        Vardas641           5.63                
Pavardė339        Vardas339           5.64                
Pavardė302        Vardas302           5.65                
Pavardė69         Vardas69            5.67                
Pavardė596        Vardas596           5.67                
Pavardė404        Vardas404           5.68                
Pavardė563        Vardas563           5.68                
Pavardė424        Vardas424           5.68                
Pavardė97         Vardas97            5.68                
Pavardė290        Vardas290           5.68                
Pavardė999        Vardas999           5.69                
Pavardė431        Vardas431           5.69                
Pavardė947        Vardas947           5.71                
Pavardė65         Vardas65            5.71                
Pavardė757        Vardas757           5.72                
Pavardė72         Vardas72            5.72                
Pavardė363        Vardas363           5.72                
Pavardė500        Vardas500           5.73                
Pavardė295        Vardas295           5.73                
Pavardė136        Vardas136           5.75                
Pavardė955        Vardas955           5.76                
Pavardė117        Vardas117           5.76                
Pavardė447        Vardas447           5.79                
