Pavardė            Vardas              Galutinis (vid.)    
-----------------------------------------------------------------
Pavardė1           Vardas1             1.28                
Pavardė10          Vardas10            2.68                
Pavardė100         Vardas100           6.60                
Pavardė1000        Vardas1000          8.64                
Pavardė101         Vardas101           7.20                
Pavardė102         Vardas102           4.00                
Pavardė103         Vardas103           3.60                
Pavardė104         Vardas104           6.16                
Pavardė105         Vardas105           7.04                
Pavardė106         Vardas106           5.40                
Pavardė107         Vardas107           1.76                
Pavardė108         Vardas108           5.56                
Pavardė109         Vardas109           3.16                
Pavardė11          Vardas11            2.72                
Pavardė110         Vardas110           7.60                
Pavardė111         Vardas111           5.76                
Pavardė112         Vardas112           2.48                
Pavardė113         Vardas113           5.08                
Pavardė114         Vardas114           8.00                
Pavardė115         Vardas115           2.16                
Pavardė116         Vardas116           2.20                
Pavardė117         Vardas117           4.04                
Pavardė118         Vardas118           1.68                
Pavardė119         Vardas119           8.88                
Pavardė12          Vardas12            6.60                
Pavardė120         Vardas120           7.92                
Pavardė121         Vardas121           2.00                
Pavardė122         Vardas122           2.88                
Pavardė123         Vardas123           1.60                
Pavardė124         Vardas124           2.76                
Pavardė125         Vardas125           8.16                
Pavardė126         Vardas126           2.64                
Pavardė127         Vardas127           7.16                
Pavardė128         Vardas128           2.96                
Pavardė129         Vardas129           3.04                
Pavardė13          Vardas13            6.84                
Pavardė130         Vardas130           5.36                
Pavardė131         Vardas131           7.36                
Pavardė132         Vardas132           3.24                
Pavardė133         Vardas133           2.88                
Pavardė134         Vardas134           4.32                
Pavardė135         Vardas135           4.40                
Pavardė136         Vardas136           2.16                
Pavardė137         Vardas137           4.20                
Pavardė138         Vardas138           2.40                
Pavardė139         Vardas139           3.16                
Pavardė14          Vardas14            7.40                
Pavardė140         Vardas140           5.16                
Pavardė141         Vardas141           7.68                
Pavardė142         Vardas142           3.52                
Pavardė143         Vardas143           8.56                
Pavardė144         Vardas144           3.56                
Pavardė145         Vardas145           7.00                
Pavardė146         Vardas146           4.44                
Pavardė147         Vardas147           5.08                
Pavardė148         Vardas148           6.84                
Pavardė149         Vardas149           4.40                
Pavardė15          Vardas15            8.44                
Pavardė150         Vardas150           4.92                
Pavardė151         Vardas151           6.76                
Pavardė152         Vardas152           5.24                
Pavardė153         Vardas153           2.44                
Pavardė154         Vardas154           2.32                
Pavardė155         Vardas155           6.08                
Pavardė156         Vardas156           5.44                
Pavardė157         Vardas157           5.96                
Pavardė158         Vardas158           4.48                
Pavardė159         Vardas159           3.60                
Pavardė16          Vardas16            4.48                
Pavardė160         Vardas160           4.48                
Pavardė161         Vardas161           4.40                
Pavardė162         Vardas162           6.52                
Pavardė163         Vardas163           2.16                
Pavardė164         Vardas164           8.12                
Pavardė165         Vardas165           7.68                
Pavardė166         Vardas166           1.92                
Pavardė167         Vardas167           7.72                
Pavardė168         Vardas168           5.16                
Pavardė169         Vardas169           2.60                
Pavardė17          Vardas17            4.64                
Pavardė170         Vardas170           7.28                
Pavardė171         Vardas171           3.16                
Pavardė172         Vardas172           5.40                
Pavardė173         Vardas173           7.08                
Pavardė174         Vardas174           5.16                
Pavardė175         Vardas175           1.40                
Pavardė176         Vardas176           6.64                
