Vardas              Pavardė            ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    EGZ     
Vardas1             Pavardė1           5       1       1       7       3       9       4       0       1       9       3       1       3       8       3       2       
Vardas2             Pavardė2           1       9       5       3       5       4       6       3       9       7       2       4       9       7       0       8       
Vardas3             Pavardė3           6       2       5       0       8       7       1       2       10      5       10      10      10      4       9       10      
Vardas4             Pavardė4           4       2       5       1       4       2       0       1       6       4       0       4       5       10      0       4       
Vardas5             Pavardė5           3       4       9       10      4       1       6       10      0       1       4       5       6       3       3       0       
Vardas6             Pavardė6           2       4       8       9       5       3       0       10      7       8       4       9       5       4       6       3       
Vardas7             Pavardė7           2       6       0       0       10      1       3       0       6       7       2       1       9       4       3       0       
Vardas8             Pavardė8           1       1       0       5       8       2       4       7       10      5       8       6       3       0       8       5       
Vardas9             Pavardė9           2       2       4       10      2       9       6       5       9       2       3       8       1       10      3       2       
Vardas10            Pavardė10          0       5       9       1       2       10      7       5       3       7       2       6       0       0       10      5       
Vardas11            Pavardė11          2       3       9       6       7       7       1       5       4       8       4       5       0       6       5       1       
Vardas12            Pavardė12          10      5       10      2       2       4       0       7       4       9       1       7       4       9       0       0       
Vardas13            Pavardė13          0       4       0       5       8       0       1       2       8       1       0       5       10      1       8       3       
Vardas14            Pavardė14          7       0       2       6       9       10      8       10      7       9       2       0       10      10      1       5       
Vardas15            Pavardė15          10      10      10      1       5       9       10      3       2       7       8       1       5       7       3       10      
Vardas16            Pavardė16          0       9       6       9       7       4       4       2       9       1       10      6       5       10      8       3       
Vardas17            Pavardė17          0       5       1       2       9       6       4       8       7       2       6       6       4       8       7       3       
Vardas18            Pavardė18          10      3       8       8       2       2       7       10      8       5       5       4       1       5       9       5       
Vardas19            Pavardė19          6       3       6       4       3       8       2       1       3       3       0       5       9       9       10      0       
Vardas20            Pavardė20          0       0       8       8       1       5       10      1       5       10      4       5       2       4       2       0       
Vardas21            Pavardė21          2       0       1       10      10      5       3       2       7       5       4       6       2       1       4       4       
Vardas22            Pavardė22          4       4       6       6       2       6       0       1       0       0       0       2       2       8       2       5       
Vardas23            Pavardė23          1       10      7       10      0       0       10      0       2       2       2       8       9       7       3       7       
Vardas24            Pavardė24          4       8       10      4       3       8       8       1       4       0       5       2       6       10      5       4       
Vardas25            Pavardė25          7       1       0       8       9       9       4       6       0       8       7       3       0       1       10      1       
Vardas26            Pavardė26          8       5       2       3       5       4       1       5       9       5       0       10      6       2       7       2       
Vardas27            Pavardė27          0       3       0       9       1       1       8       5       8       7       7       2       7       10      3       8       
Vardas28            Pavardė28          8       9       9       5       4       9       1       8       2       4       10      0       2       6       9       2       
Vardas29            Pavardė29          5       1       9       2       9       4       10      9       1       4       1       1       2       6       10      0       
Vardas30            Pavardė30          7       10      3       2       6       6       3       6       5       7       8       5       2       3       8       0       
Vardas31            Pavardė31          5       10      10      7       4       4       4       5       8       3       5       0       3       9       2       10      
Vardas32            Pavardė32          6       3       1       7       8       4       2       8       8       4       3       1       1       6       6       3       
Vardas33            Pavardė33          1       10      5       0       10      8       5       4       7       2       10      7       1       0       8       7       
Vardas34            Pavardė34          0       0       5       8       4       5       9       10      3       5       9       0       8       6       10      6       
Vardas35            Pavardė35          1       9       3       9       3       10      0       10      3       7       9       2       2       4       1       0       
Vardas36            Pavardė36          0       6       0       7       4       5       9       9       4       10      10      2       9       10      9       10      
Vardas37            Pavardė37          9       3       4       6       9       3       0       8       3       7       4       7       9       2       6       3       
Vardas38            Pavardė38          8       5       5       3       10      7       6       6       1       7       4       5       5       4       8       4       
Vardas39            Pavardė39          9       0       6       3       10      10      10      1       9       3       10      10      3       4       0       8       
Vardas40            Pavardė40          10      8       9       3       0       4       9       5       1       8       10      10      6       5       1       9       
Vardas41            Pavardė41          0       5       8       5       4       3       1       3       10      10      8       3       5       3       0       7       
Vardas42            Pavardė42          4       1       0       9       3       8       7       8       0       1       1       7       6       10      2       0       
Vardas43            Pavardė43          1       2       0       8       9       4       4       10      3       5       2       2       8       5       9       2       
Vardas44            Pavardė44          9       9       7       7       10      1       7       7       8       2       5       5       5       4       6       3       
Vardas45            Pavardė45          9       10      6       2       1       8       9       3       6       10      5       4       8       0       8       1       
Vardas46            Pavardė46          3       8       6       2       8       9       1       1       7       6       7       3       8       3       3       3       
Vardas47            Pavardė47          2       5       1       1       7       6       8       3       10      0       2       10      9       1       1       4       
Vardas48            Pavardė48          4       3       1       8       9       1       7       6       7       7       5       2       8       9       2       5       
Vardas49            Pavardė49          1       6       7       8       3       6       6       6       6       8       6       6       5       10      0       6       
Vardas50            Pavardė50          6       10      2       9       10      0       2       0       9       3       7       1       10      6       2       5       
Vardas51            Pavardė51          5       2       3       0       4       6       6       2       3       3       2       5       9       3       3       8       
Vardas52            Pavardė52          4       8       0       4       8       4       5       9       5       10      4       7       6       3       8       1       
Vardas53            Pavardė53          2       10      8       2       2       9       2       5       0       4       0       2       9       6       0       9       
Vardas54            Pavardė54          0       8       1       9       2       4       6       4       4       6       7       4       4       7       9       0       
Vardas55            Pavardė55          2       4       5       8       9       4       2       2       7       4       8       3       8       7       4       3       
Vardas56            Pavardė56          5       7       8       7       2       6       3       5       6       0       5       2       0       4       10      4       
Vardas57            Pavardė57          1       6       8       4       1       3       9       3       4       8       3       7       4       7       8       7       
Vardas58            Pavardė58          10      7       5       1       5       1       2       5       4       9       5       6       6       10      7       6       
Vardas59            Pavardė59          0       5       3       2       2       4       0       10      2       10      10      4       6       2       3       10      
Vardas60            Pavardė60          2       1       8       1       3       4       9       9       9       8       10      1       4       10      4       1       
Vardas61            Pavardė61          0       7       6       5       0       3       9       9       0       6       3       4       5       6       10      1       
Vardas62            Pavardė62          0       4       0       7       7       10      9       2       3       5       6       5       3       3       6       5       
Vardas63            Pavardė63          0       5       9       1       7       5       5       0       10      2       10      5       3       6       4       8       
Vardas64            Pavardė64          9       10      6       2       9       4       4       8       10      2       5       10      1       9       10      7       
Vardas65            Pavardė65          10      2       5       0       6       7       1       7       1       9       3       3       9       6       10      6       
Vardas66            Pavardė66          4       4       8       6       1       6       4       2       2       7       7       2       6       9       10      2       
Vardas67            Pavardė67          8       6       4       3       6       4       5       0       7       6       5       2       1       3       1       2       
Vardas68            Pavardė68          10      8       7       2       6       0       4       8       0       7       8       7       8       6       1       9       
Vardas69            Pavardė69          1       7       8       0       3       0       2       2       2       8       1       6       9       2       4       7       
Vardas70            Pavardė70          3       4       5       4       1       10      7       3       1       5       5       8       1       9       5       3       
Vardas71            Pavardė71          8       3       6       8       10      0       1       8       10      5       3       9       6       3       0       1       
Vardas72            Pavardė72          4       0       4       8       4       6       8       0       9       0       0       0       7       1       6       7       
Vardas73            Pavardė73          9       6       10      0       10      9       8       7       3       8       8       10      10      8       7       4       
Vardas74            Pavardė74          9       10      5       8       4       3       4       5       8       6       10      8       2       7       9       8       
Vardas75            Pavardė75          9       8       1       3       9       8       2       3       0       0       2       8       6       3       3       5       
Vardas76            Pavardė76          8       9       10      2       1       9       8       7       8       10      9       6       1       0       7       6       
Vardas77            Pavardė77          2       5       1       3       7       7       0       8       0       8       2       9       3       1       7       5       
Vardas78            Pavardė78          2       0       10      3       9       4       1       5       9       9       3       5       7       0       8       4       
Vardas79            Pavardė79          1       7       0       0       5       4       2       9       1       7       9       9       10      0       10      4       
Vardas80            Pavardė80          3       7       8       2       1       9       4       3       4       4       4       4       2       0       2       4       
Vardas81            Pavardė81          0       8       4       2       1       6       7       6       10      5       6       2       10      1       2       3       
Vardas82            Pavardė82          6       9       10      9       2       2       4       7       8       0       0       0       8       5       1       10      
Vardas83            Pavardė83          0       10      2       3       2       3       8       3       5       2       8       0       9       7       6       5       
Vardas84            Pavardė84          1       2       7       6       8       6       2       6       0       2       7       0       1       5       5       2       
Vardas85            Pavardė85          0       10      8       4       2       6       10      2       3       1       4       5       4       10      4       9       
Vardas86            Pavardė86          2       4       4       10      5       9       4       10      6       5       1       6       7       7       10      6       
Vardas87            Pavardė87          4       5       4       4       8       8       10      2       5       1       3       3       8       7       0       5       
Vardas88            Pavardė88          3       4       6       1       2       6       3       8       3       5       9       9       8       6       2       10      
Vardas89            Pavardė89          6       1       7       4       1       0       8       10      2       3       4       8       9       4       0       0       
Vardas90            Pavardė90          9       4       9       6       9       5       3       8       7       6       8       4       3       1       7       2       
Vardas91            Pavardė91          0       6       9       6       2       7       5       0       7       1       0       8       10      10      8       7       
Vardas92            Pavardė92          0       6       6       2       0       7       3       4       6       1       4       9       6       10      2       5       
Vardas93            Pavardė93          6       8       10      8       10      7       1       0       10      7       2       7       7       6       0       9       
Vardas94            Pavardė94          6       7       2       2       7       3       6       10      1       6       4       10      7       3       8       1       
Vardas95            Pavardė95          4       9       7       3       4       10      5       3       5       5       4       0       6       10      5       9       
Vardas96            Pavardė96          5       4       8       6       2       0       1       9       8       4       8       1       1       4       4       6       
