Pavardė            Vardas              Galutinis (vid.)    
-----------------------------------------------------------------
Pavardė728        Vardas728           1.33                
Pavardė850        Vardas850           1.41                
Pavardė7          Vardas7             1.44                
Pavardė795        Vardas795           1.47                
Pavardė523        Vardas523           1.49                
Pavardė206        Vardas206           1.49                
Pavardė352        Vardas352           1.52                
Pavardė297        Vardas297           1.55                
Pavardė887        Vardas887           1.55                
Pavardė800        Vardas800           1.57                
Pavardė385        Vardas385           1.60                
Pavardė276        Vardas276           1.65                
Pavardė463        Vardas463           1.65                
Pavardė857        Vardas857           1.68                
Pavardė502        Vardas502           1.71                
Pavardė154        Vardas154           1.71                
Pavardė932        Vardas932           1.73                
Pavardė525        Vardas525           1.73                
Pavardė20         Vardas20            1.73                
Pavardė623        Vardas623           1.76                
Pavardė958        Vardas958           1.76                
Pavardė494        Vardas494           1.76                
Pavardė921        Vardas921           1.76                
Pavardė499        Vardas499           1.79                
Pavardė89         Vardas89            1.79                
Pavardė42         Vardas42            1.79                
Pavardė539        Vardas539           1.79                
Pavardė213        Vardas213           1.81                
Pavardė169        Vardas169           1.81                
Pavardė5          Vardas5             1.84                
Pavardė855        Vardas855           1.84                
Pavardė535        Vardas535           1.87                
Pavardė689        Vardas689           1.87                
Pavardė380        Vardas380           1.88                
Pavardė894        Vardas894           1.89                
Pavardė182        Vardas182           1.89                
Pavardė945        Vardas945           1.89                
Pavardė271        Vardas271           1.92                
Pavardė19         Vardas19            1.92                
Pavardė356        Vardas356           1.92                
Pavardė253        Vardas253           1.93                
Pavardė449        Vardas449           1.95                
Pavardė35         Vardas35            1.95                
Pavardė693        Vardas693           1.95                
Pavardė333        Vardas333           1.95                
Pavardė476        Vardas476           1.96                
Pavardė1000       Vardas1000          1.97                
Pavardė12         Vardas12            1.97                
Pavardė29         Vardas29            1.97                
Pavardė559        Vardas559           1.97                
Pavardė345        Vardas345           1.97                
Pavardė326        Vardas326           1.97                
Pavardė391        Vardas391           2.00                
Pavardė950        Vardas950           2.00                
Pavardė803        Vardas803           2.00                
Pavardė54         Vardas54            2.00                
Pavardė377        Vardas377           2.00                
Pavardė357        Vardas357           2.01                
Pavardė739        Vardas739           2.01                
Pavardė628        Vardas628           2.01                
Pavardė230        Vardas230           2.03                
Pavardė323        Vardas323           2.03                
Pavardė381        Vardas381           2.03                
Pavardė565        Vardas565           2.03                
Pavardė492        Vardas492           2.05                
Pavardė534        Vardas534           2.08                
Pavardė587        Vardas587           2.11                
Pavardė745        Vardas745           2.11                
Pavardė228        Vardas228           2.11                
Pavardė651        Vardas651           2.12                
Pavardė729        Vardas729           2.13                
Pavardė915        Vardas915           2.13                
Pavardė371        Vardas371           2.15                
Pavardė638        Vardas638           2.15                
Pavardė387        Vardas387           2.16                
Pavardė30         Vardas30            2.16                
Pavardė296        Vardas296           2.19                
Pavardė469        Vardas469           2.19                
Pavardė620        Vardas620           2.21                
Pavardė383        Vardas383           2.21                
Pavardė349        Vardas349           2.21                
Pavardė984        Vardas984           2.21                
Pavardė943        Vardas943           2.21                
Pavardė277        Vardas277           2.23                
Pavardė553        Vardas553           2.23                
Pavardė920        Vardas920           2.23                
Pavardė807        Vardas807           2.24                
Pavardė456        Vardas456           2.25                
Pavardė545        Vardas545           2.25                
Pavardė409        Vardas409           2.27                
Pavardė567        Vardas567           2.27                
Pavardė736        Vardas736           2.27                
Pavardė622        Vardas622           2.28                
Pavardė393        Vardas393           2.28                
Pavardė98         Vardas98            2.28                
